"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47708","opens decor styles","chromium","2026-09-10","broken","2026-09-10","","bhg.spec.js","",""
"","38533","opens home page again after navigation","chromium","2026-09-10","broken","2026-09-10","","bhg.spec.js","",""
"","47214","opens the newsletter dialog","chromium","2026-09-10","broken","2026-09-10","","bhg.spec.js","",""
"","4566","loads the home page","chromium","2026-09-10","passed","2026-09-10","","bhg.spec.js","",""
"","36711","submits a gardening newsletter choice","chromium","2026-09-10","broken","2026-09-10","","bhg.spec.js","",""
"","4164","BHG","chromium","2026-09-09","passed","2026-09-09","","bhg.spec.js","",""
"","44334","submits a second newsletter choice","chromium","2026-09-10","broken","2026-09-10","","bhg.spec.js","",""
"","52430","submits two newsletter choices","chromium","2026-09-10","broken","2026-09-10","","bhg.spec.js","",""
"","2082","shows newsletter options through the helper","chromium","2026-09-10","passed","2026-09-10","","bhg.spec.js","",""
"","3257","shows the utility navigation","chromium","2026-09-10","passed","2026-09-10","","bhg.spec.js","",""
"","2819","keeps bhg on the same domain","chromium","2026-09-10","passed","2026-09-10","","bhg.spec.js","",""
"","34946","shows the main header navigation","chromium","2026-09-10","passed","2026-09-10","","bhg.spec.js","",""
"","3475","hovers the first header item","chromium","2026-09-10","passed","2026-09-10","","bhg.spec.js","",""
"","3416","verifies the newsletter link exists","chromium","2026-09-10","passed","2026-09-10","","bhg.spec.js","",""
"","36591","checks bhg url","chromium","2026-09-10","passed","2026-09-10","","bhg.spec.js","",""
